,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks,last_4_weeks_commit_activity_series
81,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
82,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
83,66,377,44,325,301,1629,19,"{'additions': 8509, 'deletions': -3229}",350,"[9, 27, 14, 29, 17, 10, 1, 2, 10, 6, 7, 3, 3, 0, 0, 6, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
85,36,92,28,143,143,63,5,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
87,46,129,129,1975,1773,577,19,"{'additions': None, 'deletions': None}",206,[]
88,69,72,13,6,5,137,5,"{'additions': 5, 'deletions': -5}",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,1,7,7,0,0,1,1,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,172,456,50,221,186,327,31,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,124,272,35,15,3,0,0,"{'additions': 18920, 'deletions': -17783}",1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,2,1,0,0,0,0,0,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
94,369,1147,137,406,392,1189,35,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
96,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
97,57,98,33,54,52,44,10,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
99,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
